DATE_E	TIME_E	LAT	LON	K	TIME_P	TIME_S
2012-01-25	00:54:55.80	53.277	108.47	8.7	00:55:03.96	00:55:10.36
2012-02-01	20:25:58.13	53.316	108.597	8.5	20:26:07.63	20:26:14.91
2012-02-04	05:18:06.31	53.218	108.171	10.2	05:18:12.08	05:18:16.54
2012-02-24	05:50:39.96	52.941	108.152	8.9	05:50:49.12	05:50:55.90
2012-02-26	15:04:46.31	53.336	108.678	9.4	15:04:56.42	15:05:03.69
2012-03-29	09:01:22.62	53.526	108.544	8.5	09:01:31.91	09:01:39.08
2012-04-10	03:15:05.33	52.95	107.148	8.8	03:15:14.41	03:15:21.31
2012-05-21	07:28:39.14	53.666	108.262	8.9	07:28:47.82	07:28:54.06
2012-05-25	18:08:11.10	53.03	107.938	9.6	18:08:17.45	18:08:22.68
2012-05-26	18:26:44.90	53.315	108.12	9.2	18:26:49.32	18:26:52.80
2012-05-30	01:16:26.37	53.047	107.774	8.8	01:16:31.83	01:16:36.04
2012-05-31	16:18:46.31	53.233	107.82	9.4	16:18:49.70	16:18:52.11
2012-06-04	07:53:43.05	53.292	108.08	8.5	07:53:47.72	07:53:51.18
2012-06-10	18:12:40.85	53.108	107.879	9.6	18:12:45.67	18:12:49.45
2012-06-12	10:36:18.68	53.647	108.229	8.9	10:36:27.24	10:36:33.55
2012-06-18	02:58:50.44	53.373	107.337	8.6	02:58:56.43	02:59:00.59
2012-06-26	08:18:16.63	53.303	108.561	8.5	08:18:25.89	08:18:32.85
2012-07-10	21:56:02.33	53.358	108.088	8.7	21:56:07.43	21:56:11.04
2012-07-15	04:43:27.84	53.076	107.508	9.8	04:43:34.01	04:43:38.24
2012-07-21	10:52:56.70	53.032	108.25	8.9	10:53:05.28	10:53:10.98
2012-07-25	00:13:07.04	53.029	108.143	9	00:13:14.69	00:13:19.70
2012-08-08	02:13:21.49	53.376	108.056	8.9	02:13:25.40	02:13:28.53
2012-08-09	05:43:04.52	53.049	107.879	9.7	05:43:09.65	05:43:13.95
2012-08-12	12:19:03.24	53.258	107.541	8.9	12:19:06.56	12:19:09.34
2012-08-12	17:54:08.58	52.914	107.706	8.6	17:54:15.97	17:54:21.94
2012-10-01	03:02:29.43	53.192	108.438	8.9	03:02:37.24	03:02:43.72
2012-10-03	00:47:21.12	53.278	108.484	10.3	00:47:29.16	00:47:36.08
2012-10-07	00:25:02.24	53.353	108.635	8.9	00:25:12.33	00:25:19.00
2012-10-14	22:22:18.67	53.346	108.35	8.6	22:22:26.09	22:22:31.47
2012-10-17	02:20:15.89	53.046	108.079	9.3	02:20:21.88	02:20:26.76
2012-10-17	04:20:27.56	53.303	108.565	8.5	04:20:37.16	04:20:44.44
2012-10-21	06:15:38.67	53.069	108.111	8.9	06:15:44.48	06:15:49.38
2012-10-23	08:49:41.22	53.053	108.106	8.9	08:49:47.31	08:49:52.38
2012-10-23	23:23:19.26	53.099	107.802	9.7	23:23:23.33	23:23:26.62
2012-10-28	00:09:00.48	53.238	108.591	8.6	00:09:10.09	00:09:17.42
2012-10-29	16:22:31.24	53.241	108.275	9.5	16:22:37.49	16:22:43.38
2012-10-30	16:43:53.37	53.297	108.637	8.9	16:44:04.17	16:44:11.91
2012-10-30	20:19:15.45	53.327	108.03	9	20:19:19.39	20:19:22.88
2012-10-31	05:40:11.39	53.312	108.07	9.4	05:40:14.32	05:40:17.20
2012-10-31	09:57:44.02	53.232	108.545	8.5	09:57:52.88	09:57:59.63
2012-11-01	08:37:26.06	53.363	108.143	9.6	08:37:30.46	08:37:33.81
2012-11-01	10:30:28.44	53.263	108.42	8.5	10:30:36.02	10:30:42.88
2012-11-04	11:36:04.39	53.302	108.545	8.6	11:36:13.74	11:36:20.50
2012-11-04	23:58:54.09	53.279	108.569	8.7	23:59:02.94	23:59:10.01
2012-11-14	18:02:03.85	53.15	107.692	9.4	18:02:07.94	18:02:10.80
2012-11-15	05:11:49.18	53.56	108.294	9.3	05:11:56.46	05:12:02.63
2012-11-21	00:13:01.36	53.022	108.162	9.3	00:13:08.74	00:13:14.54
2012-11-21	01:49:41.08	53.273	108.572	8.8	01:49:50.07	01:49:57.03
2012-11-30	09:49:51.15	53.379	108.037	9.3	09:49:55.95	09:49:59.12
2012-12-08	23:52:52.10	53.279	108.529	9.1	23:53:00.92	23:53:07.82
2012-12-09	08:48:52.29	53.254	108.572	10.4	08:49:01.14	08:49:08.41
2012-12-19	00:48:04.83	53.444	108.472	8.6	00:48:13.59	00:48:19.93
2012-12-26	21:49:17.85	53.076	107.465	9	21:49:24.20	21:49:28.65
2013-01-25	09:23:47.19	52.933	107.719	9.1	09:23:54.04	09:23:59.70
2013-02-17	05:54:21.63	52.962	107.864	9.5	05:54:28.38	05:54:33.45
2013-02-18	10:43:16.24	53.179	107.975	8.5	10:43:19.87	10:43:22.91
2013-02-20	04:41:42.02	53.322	108.711	9.8	04:41:53.29	04:42:01.37
2013-02-20	17:24:42.56	53.214	108.535	8.6	17:24:51.15	17:24:57.92
2013-02-27	04:09:27.27	53.195	108.006	9.1	04:09:30.19	04:09:34.56
2013-03-01	23:43:56.37	53.068	108.164	10.8	23:44:02.98	23:44:08.36
2013-03-02	13:16:51.82	53.07	108.153	10.3	13:16:58.44	13:17:03.34
2013-03-05	03:54:24.10	53.374	107.948	10.3	03:54:27.24	03:54:30.23
2013-03-07	22:11:07.77	53.485	108.221	8.8	22:11:14.53	22:11:19.81
2013-03-13	23:45:35.68	53.09	107.561	8.5	23:45:40.72	23:45:44.46
2013-03-16	10:11:37.33	52.784	107.274	8.9	10:11:48.68	10:11:56.99
2013-03-17	02:09:24.63	53.53	108.248	8.9	02:09:32.34	02:09:37.88
2013-03-24	13:00:15.26	52.952	108.145	9.4	13:00:23.83	13:00:30.09
2013-03-27	15:33:55.20	53.34	108.715	8.9	15:34:06.65	15:34:14.65
2013-03-29	07:35:40.72	53.192	107.97	9.7	07:35:44.98	07:35:48.08
